clean_text,label,airline_sentiment,tweet_created,airline,retweet_count
julie andrews way though impressive,2,positive,2015-02-23 23:46:46+00:00,Virgin America,0
wish flew out atlanta soon,1,neutral,2015-02-23 23:36:51+00:00,Virgin America,0
julie andrews hands down,1,neutral,2015-02-23 23:24:09+00:00,Virgin America,0
flights leaving dallas february,1,neutral,2015-02-23 23:19:41+00:00,Virgin America,0
excited about lga dal deal trying book since last week page never loads thx,0,negative,2015-02-23 23:05:09+00:00,Virgin America,0
know need spotify stat guiltypleasures,2,positive,2015-02-23 23:04:29+00:00,Virgin America,0
lady gaga amazing,2,positive,2015-02-23 22:40:33+00:00,Virgin America,0
carrie,1,neutral,2015-02-23 22:40:19+00:00,Virgin America,0
new marketing song let know think,1,neutral,2015-02-23 22:37:42+00:00,Virgin America,0
julie andrews first lady gaga wow last night carrie meh,1,neutral,2015-02-23 22:36:58+00:00,Virgin America,0
called weeks ago about adding flights elevate still haven shown help,0,negative,2015-02-23 22:35:50+00:00,Virgin America,0
great carrieunderwood,1,neutral,2015-02-23 22:30:13+00:00,Virgin America,0
sorry mary martin first,1,neutral,2015-02-23 22:26:53+00:00,Virgin America,0
love three really beat classics,2,positive,2015-02-23 22:25:09+00:00,Virgin America,0
flight dal dca tried check status please,1,neutral,2015-02-23 22:09:06+00:00,Virgin America,0
heyyyy guyyyys trying through hour someone call please,0,negative,2015-02-23 21:46:30+00:00,Virgin America,0
virgin hold minutes any earlier flights nyc tonight earlier than,0,negative,2015-02-23 21:35:23+00:00,Virgin America,0
congrats winning award best deals airline,2,positive,2015-02-23 21:30:10+00:00,Virgin America,0
everything fine until lost bag,0,negative,2015-02-23 21:08:21+00:00,Virgin America,0
need change reservation virgin credit card need modify phone waive change fee online,1,neutral,2015-02-23 20:47:52+00:00,Virgin America,0
emailed customer service team let know need tracking number,1,neutral,2015-02-23 20:00:17+00:00,Virgin America,0
booked flight need add baggage,1,neutral,2015-02-23 19:56:37+00:00,Virgin America,0
airline awesome lax loft needs step game dirty tables floors,0,negative,2015-02-23 19:46:16+00:00,Virgin America,0
worried great ride new plane great crew airlines like,2,positive,2015-02-23 19:32:31+00:00,Virgin America,0
awesome flew yall sat morning any way correct bill,2,positive,2015-02-23 19:28:46+00:00,Virgin America,0
watch some best student films country feet cmfat feet,1,neutral,2015-02-23 19:24:18+00:00,Virgin America,0
first time flying different rate policy media bags thanks,1,neutral,2015-02-23 19:22:16+00:00,Virgin America,0
going customer service anyway speak human asap thank,0,negative,2015-02-23 19:02:02+00:00,Virgin America,0
happened doom,1,neutral,2015-02-23 18:58:43+00:00,Virgin America,0
why supp biz traveler like customer service like neverflyvirginforbusiness,0,negative,2015-02-23 18:56:25+00:00,Virgin America,0
applied then once member inflight crew team interested flightattendant dreampath,2,positive,2015-02-23 18:56:16+00:00,Virgin America,0
best whenever begrudgingly use any other airline delayed late flight,0,negative,2015-02-23 18:54:47+00:00,Virgin America,0
interesting flying after cancelled flight next four flights planned neverflyvirginforbusiness,0,negative,2015-02-23 18:54:36+00:00,Virgin America,0
disappointing experience shared every business traveler meet neverflyvirgin,0,negative,2015-02-23 18:38:14+00:00,Virgin America,0
having trouble adding flight wife booked elevate account help,0,negative,2015-02-23 18:29:19+00:00,Virgin America,0
bring reservation online using flight booking problems code,1,neutral,2015-02-23 18:15:00+00:00,Virgin America,0
random distribution elevate avatars bet kitty disproportionate share,1,neutral,2015-02-23 18:09:30+00:00,Virgin America,0
flying life happens trying change trip jperhi help home page let,1,neutral,2015-02-23 18:04:47+00:00,Virgin America,0
why site down back,0,negative,2015-02-23 17:57:42+00:00,Virgin America,0
down rnp yeah know,1,neutral,2015-02-23 17:45:23+00:00,Virgin America,0
points elevate account most recent flight add flight points account,1,neutral,2015-02-23 17:35:03+00:00,Virgin America,0
like interesting video disappointed cancelled flightled flight other flights went out jfk saturday,0,negative,2015-02-23 17:29:00+00:00,Virgin America,0
landed lax hour after late flight bag check business travel friendly nomorevirgin,0,negative,2015-02-23 17:28:26+00:00,Virgin America,0
why flight redirected,1,neutral,2015-02-23 17:26:37+00:00,Virgin America,0
website down btw new website isn great user experience time another redesign,0,negative,2015-02-23 17:25:41+00:00,Virgin America,0
check add bag website isn working tried both desktop mobile,0,negative,2015-02-23 17:18:42+00:00,Virgin America,0
let scanned passengers leave plane than told someone remove bag class bin uncomfortable,0,negative,2015-02-23 17:11:12+00:00,Virgin America,0
phone number find who call about flight reservation,0,negative,2015-02-23 16:29:21+00:00,Virgin America,0
anyone doing anything today website useless one answering phone,0,negative,2015-02-23 16:19:59+00:00,Virgin America,0
trying add boy prince ressie thursday lax,1,neutral,2015-02-23 16:19:49+00:00,Virgin America,0
why must traveler miss flight late flight check bag missed morning appointments lost business sfo lax,0,negative,2015-02-23 16:11:03+00:00,Virgin America,0
check out new music,1,neutral,2015-02-23 16:08:08+00:00,Virgin America,0
direct flight fll sfo unexpected layover vegas fuel yet peeps next bought vegas flight sneaky,0,negative,2015-02-23 16:08:01+00:00,Virgin America,0
late flight bag check lost business missed flight apt three other people flight same exp,0,negative,2015-02-23 15:51:37+00:00,Virgin America,0
amazing customer service again raeann best customerservice virginamerica flying,2,positive,2015-02-23 15:50:35+00:00,Virgin America,0
called service line hung awesome sarcasm,0,negative,2015-02-23 15:40:39+00:00,Virgin America,0
site tripping trying check getting plain text version reluctant enter any card info,0,negative,2015-02-23 15:40:05+00:00,Virgin America,0
scheduled sfo dal flight today changed due weather looks like flight still,1,neutral,2015-02-23 15:28:43+00:00,Virgin America,0
getaway deals through one way lots cool cities cheapflights farecompare,2,positive,2015-02-23 14:57:25+00:00,Virgin America,0
getaway deals through one way lots cool cities cheapflights farecompare,1,neutral,2015-02-23 14:57:24+00:00,Virgin America,0
getaway deals through one way lots cool cities cheapflights farecompare,2,positive,2015-02-23 14:57:24+00:00,Virgin America,0
getaway deals through one way lots cool cities cheapflights farecompare,1,neutral,2015-02-23 14:57:24+00:00,Virgin America,0
great week,2,positive,2015-02-23 14:51:01+00:00,Virgin America,0
come back phl already need take out horrible cold pleasecomeback,2,positive,2015-02-23 14:07:54+00:00,Virgin America,0
concerned about fly plane needs delayed due tech stop,0,negative,2015-02-23 13:15:06+00:00,Virgin America,0
best airline flown easy change reservation helpful representatives comfortable flying experience,2,positive,2015-02-23 11:01:39+00:00,Virgin America,0
again another rep kicked butt naelah represents team beautifully thank,2,positive,2015-02-23 08:35:42+00:00,Virgin America,0
beautiful front end design down right now cool still book ticket back end secure,2,positive,2015-02-23 08:21:40+00:00,Virgin America,0
love team running gate las tonight waited delayed flight kept things entertaining,2,positive,2015-02-23 08:06:55+00:00,Virgin America,0
use another browser brand reputation built tech response doesn cross browser compatible website,0,negative,2015-02-23 06:39:18+00:00,Virgin America,0
now flight flight booking problems site totally down folks problem,0,negative,2015-02-23 06:11:07+00:00,Virgin America,0
like customer service min delay connecting passengers seems too long,0,negative,2015-02-23 05:56:44+00:00,Virgin America,0
thanks outstanding nyc jfk crew who moved mountains home san francisco tonight,2,positive,2015-02-23 04:23:27+00:00,Virgin America,0
absolute best team customer service ever every time fly delighted thank,2,positive,2015-02-23 01:48:33+00:00,Virgin America,0
provide complimentary upgrades first class available seats,1,neutral,2015-02-23 01:45:25+00:00,Virgin America,0
need change flight thats scheduled hours min wait time phone calling intern help,0,negative,2015-02-23 01:14:06+00:00,Virgin America,0
completely awesome experience last month bos las nonstop thanks such awesome flight depart time vabeatsjblue,2,positive,2015-02-23 00:18:33+00:00,Virgin America,0
watch oscars jfk sfo flight,1,neutral,2015-02-23 00:05:07+00:00,Virgin America,0
flight cancelled flightled,1,neutral,2015-02-22 23:41:51+00:00,Virgin America,0
failing customers because check process link tsa pre check,0,negative,2015-02-22 23:40:12+00:00,Virgin America,0
too terrible airline gave hotel hotline number said sorry,0,negative,2015-02-22 23:06:19+00:00,Virgin America,0
flight number sfo cabo san lucas arrived yet,1,neutral,2015-02-22 23:03:35+00:00,Virgin America,0
assistance yesterday cancelled flightled flight give hotel hotline shame,0,negative,2015-02-22 23:02:11+00:00,Virgin America,0
another delayed flight likingyoulessandless,0,negative,2015-02-22 22:49:31+00:00,Virgin America,0
need register service dog first class ticket sfo dulles phone queue hour longer pls advise,0,negative,2015-02-22 22:39:09+00:00,Virgin America,0
rock making watch oscars flight redcarpet oscars oscars,2,positive,2015-02-22 22:32:14+00:00,Virgin America,1
dropped track,1,neutral,2015-02-22 22:31:43+00:00,Virgin America,0
always xoxo,2,positive,2015-02-22 22:09:50+00:00,Virgin America,0
why book seats flights buy even during check creates much anxiety frustrated,0,negative,2015-02-22 22:07:43+00:00,Virgin America,0
think paying extra bucks luggage afford hiring extra hand lame,0,negative,2015-02-22 22:03:34+00:00,Virgin America,0
best customer service rep world irmafromdallas takes cake,2,positive,2015-02-22 21:55:28+00:00,Virgin America,0
find flt out lax sooner than midnight monday great customer service,1,neutral,2015-02-22 21:49:59+00:00,Virgin America,0
please provide status flight cant imagine time web indicates dude weather dallas,0,negative,2015-02-22 21:47:02+00:00,Virgin America,0
amazing staff super helpful ran princesshalf spoiled comfort,2,positive,2015-02-22 21:45:41+00:00,Virgin America,0
paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,0,negative,2015-02-22 21:29:34+00:00,Virgin America,0
question possible book seat infant under giving option want seat,0,negative,2015-02-22 21:23:03+00:00,Virgin America,0
always together welcome welcome,2,positive,2015-02-22 20:49:25+00:00,Virgin America,2
flight home sunset globe backtowinter back work refreshed,2,positive,2015-02-22 20:35:49+00:00,Virgin America,0
don understand why need give answer damaged luggage policy,0,negative,2015-02-22 20:34:26+00:00,Virgin America,0
mean don policy destroyed luggage,0,negative,2015-02-22 20:27:38+00:00,Virgin America,0
special assistance travel alone kids infant priority boarding,1,neutral,2015-02-22 19:56:57+00:00,Virgin America,0
thank checking tickets purchased customer happy,2,positive,2015-02-22 19:33:40+00:00,Virgin America,0
website ever coming back online,1,neutral,2015-02-22 19:13:18+00:00,Virgin America,0
flight love field sfo definitely cancelled flightled monday february,1,neutral,2015-02-22 19:10:37+00:00,Virgin America,0
flight out lga dfw time,1,neutral,2015-02-22 19:10:30+00:00,Virgin America,0
drivers license expired little over month fly friday morning using expired license,1,neutral,2015-02-22 19:10:27+00:00,Virgin America,0
having problems flight booking problems web site keeps giving error contact phone phone minute wait,0,negative,2015-02-22 19:02:26+00:00,Virgin America,0
reschedule cancelled flightled flights online change button greyed out,0,negative,2015-02-22 19:01:38+00:00,Virgin America,0
rang wait minutes book same ticket through vendor fix site,0,negative,2015-02-22 18:38:45+00:00,Virgin America,0
flight told today checked email tomorrow unacceptable,0,negative,2015-02-22 18:30:17+00:00,Virgin America,0
flight into lga cancelled flighted stuck dallas called reschedule told flight today,0,negative,2015-02-22 18:29:19+00:00,Virgin America,0
why don any pairings include red wine only white offered redwineisbetter,0,negative,2015-02-22 18:19:45+00:00,Virgin America,0
website down,0,negative,2015-02-22 16:56:00+00:00,Virgin America,0
site seems little wonked right now want look tried two browsers css,0,negative,2015-02-22 16:53:08+00:00,Virgin America,0
disappointed agent designated silver status check line closed assist pasengers,0,negative,2015-02-22 13:51:43+00:00,Virgin America,0
plans include austin dallas route topnews arab emirates,1,neutral,2015-02-22 13:02:06+00:00,Virgin America,0
normal receive reply central baggage baggageissues smh,0,negative,2015-02-22 12:43:56+00:00,Virgin America,0
logan airport waiting checkin flight checkin desk open why,0,negative,2015-02-22 11:39:28+00:00,Virgin America,0
jump into dallas austin market,1,neutral,2015-02-22 11:32:07+00:00,Virgin America,0
beats eps views takes southwestair luv investor business daily,1,neutral,2015-02-22 11:02:06+00:00,Virgin America,0
lister show monday,1,neutral,2015-02-22 10:42:16+00:00,Virgin America,0
begin dallas austin flights april ketr,1,neutral,2015-02-22 09:32:05+00:00,Virgin America,0
congrats business ewr sfo lax fuck sfo ewr clincher,0,negative,2015-02-22 05:32:59+00:00,Virgin America,0
applied over weeks ago haven heard back flying week disappointed,0,negative,2015-02-22 05:28:42+00:00,Virgin America,0
love know policy damaged luggage,1,neutral,2015-02-22 04:41:55+00:00,Virgin America,0
thank follow,2,positive,2015-02-22 04:33:30+00:00,Virgin America,0
too many apologies worse airlines don even respond cudtomers,0,negative,2015-02-22 04:21:23+00:00,Virgin America,0
shame making people spend money stranded cities other airlines landing jfk who reimburse,0,negative,2015-02-22 04:11:40+00:00,Virgin America,0
please flights sjc choice fly southwest vegas,1,neutral,2015-02-22 02:29:40+00:00,Virgin America,0
too bad say takes days confirmation email inquired after weeks claim weeks,0,negative,2015-02-22 02:29:35+00:00,Virgin America,0
flight bos las tomorrow cancelled flightled notification wait times hour rebook another airline,0,negative,2015-02-22 02:11:58+00:00,Virgin America,0
met match status another airline upgrade restr,2,positive,2015-02-22 02:09:54+00:00,Virgin America,0
only way fly elevate gold,2,positive,2015-02-22 02:02:51+00:00,Virgin America,0
only guys flights cmh,1,neutral,2015-02-22 01:43:33+00:00,Virgin America,0
lot apologies being thrown out customers see sad thanks nothing worst airline ever,0,negative,2015-02-22 01:41:48+00:00,Virgin America,0
flight stuff wrong nothing about worst flight ever,0,negative,2015-02-22 01:40:07+00:00,Virgin America,0
having issue finding missing item plane help find airport plane headed next,1,neutral,2015-02-22 01:18:10+00:00,Virgin America,0
match americanairlines status cool,2,positive,2015-02-22 01:15:29+00:00,Virgin America,0
met match status another airline upgrade,1,neutral,2015-02-22 01:14:35+00:00,Virgin America,0
trying book flight guys website won let about lose business,0,negative,2015-02-22 01:13:52+00:00,Virgin America,0
suck,0,negative,2015-02-22 01:13:29+00:00,Virgin America,0
thanks,2,positive,2015-02-22 00:50:34+00:00,Virgin America,0
same issue persisting,0,negative,2015-02-22 00:19:33+00:00,Virgin America,0
because never rec cancelled flightlation notice left options fly out driving red eye mon kids,0,negative,2015-02-21 23:47:19+00:00,Virgin America,0
trying book flight site down,0,negative,2015-02-21 23:29:51+00:00,Virgin America,0
any flights flying into boston tomorrow need home cancelled flightled flight didn anything,0,negative,2015-02-21 23:27:52+00:00,Virgin America,0
stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,0,negative,2015-02-21 22:34:09+00:00,Virgin America,0
love guy song dancing high school dance revue,2,positive,2015-02-21 22:28:57+00:00,Virgin America,0
website down trying check,0,negative,2015-02-21 22:27:45+00:00,Virgin America,0
done thank quick response apparently faster than sitting hold,2,positive,2015-02-21 22:24:16+00:00,Virgin America,0
nervous about flight lax getting cancelled flightled tomorrow sent help,1,neutral,2015-02-21 22:23:24+00:00,Virgin America,0
cool picture another virginamerica plane off wing site,2,positive,2015-02-21 22:21:00+00:00,Virgin America,0
keep great work,2,positive,2015-02-21 21:52:20+00:00,Virgin America,0
goodness people field amazing under pressure texas beatstheothers crisis please fly,2,positive,2015-02-21 21:52:02+00:00,Virgin America,0
thanks great flight boston pilots great job landing snow back now seriously,2,positive,2015-02-21 21:41:02+00:00,Virgin America,0
please new york area before monday afternoon,1,neutral,2015-02-21 21:32:58+00:00,Virgin America,0
thanks much awesome support guys rock,2,positive,2015-02-21 21:32:49+00:00,Virgin America,0
seats row don recline mention website soreback,0,negative,2015-02-21 21:30:18+00:00,Virgin America,0
flight delayed hours due mechanical problems handle like pros tossed free drink,0,negative,2015-02-21 21:28:49+00:00,Virgin America,0
why cancelled flight flights today precipitation scared,0,negative,2015-02-21 21:18:45+00:00,Virgin America,0
twitter team guys killed rescheduling asap thank,2,positive,2015-02-21 21:00:26+00:00,Virgin America,0
guys charged reschedule flight then cancelled flighted now refusing refund deal,0,negative,2015-02-21 20:54:58+00:00,Virgin America,0
access website safari iphone seems work mac ipad need iphone add passbook,0,negative,2015-02-21 20:48:31+00:00,Virgin America,0
ipad iphone clicking checkin link email received hrs before flight,1,neutral,2015-02-21 20:45:25+00:00,Virgin America,0
mobile site broken shows header elevateuser numofpointsavailable number points won let checkin,0,negative,2015-02-21 20:44:32+00:00,Virgin America,0
really looking forward flight let know rescheduled diehardvirgin,0,negative,2015-02-21 20:23:36+00:00,Virgin America,0
why cancelled flight flight one sec delayed airport next cancelled flightled gonna email call reschedule,0,negative,2015-02-21 20:18:51+00:00,Virgin America,0
problem link email check thanks,0,negative,2015-02-21 20:07:17+00:00,Virgin America,0
change another airline today why able land cost ugh,0,negative,2015-02-21 19:56:47+00:00,Virgin America,0
looking forward first flight today cancelled flightled along subsequent one,0,negative,2015-02-21 19:55:01+00:00,Virgin America,0
putting some great deals pdx las las pdx show love,2,positive,2015-02-21 19:49:53+00:00,Virgin America,0
wish afford fly next friday going back home love everything about airline,2,positive,2015-02-21 19:45:41+00:00,Virgin America,0
gonna deal dallas deal dallas sad,0,negative,2015-02-21 19:44:33+00:00,Virgin America,0
bug report guys,1,neutral,2015-02-21 19:40:53+00:00,Virgin America,0
hold times call center bit much,0,negative,2015-02-21 19:35:03+00:00,Virgin America,0
like,2,positive,2015-02-21 19:10:26+00:00,Virgin America,0
site down help,0,negative,2015-02-21 19:06:53+00:00,Virgin America,0
best flight attendant ever,2,positive,2015-02-21 18:58:30+00:00,Virgin America,0
awesome watch nominated films feet meetthefleet oscars,2,positive,2015-02-21 18:54:11+00:00,Virgin America,0
thanks much,2,positive,2015-02-21 18:40:51+00:00,Virgin America,0
trying reset password email never arrives help,0,negative,2015-02-21 18:37:28+00:00,Virgin America,0
only airline based silicon valley disruption fcmostinnovative incubator,2,positive,2015-02-21 18:31:11+00:00,Virgin America,0
nicely done,2,positive,2015-02-21 18:28:13+00:00,Virgin America,0
looking forward watching oscars flight home tomorrow even something bubbly drink,2,positive,2015-02-21 18:22:57+00:00,Virgin America,0
reason delay departure jfk afternoon,0,negative,2015-02-21 18:22:54+00:00,Virgin America,0
todays flight palm springs jfk cancelled flightled,0,negative,2015-02-21 18:15:39+00:00,Virgin America,0
hahaha guys amazing love guys,2,positive,2015-02-21 18:12:58+00:00,Virgin America,0
sounds like fun,2,positive,2015-02-21 18:12:25+00:00,Virgin America,0
any updates flight jfk lax,1,neutral,2015-02-21 18:11:00+00:00,Virgin America,0
spruce moose,1,neutral,2015-02-21 18:10:37+00:00,Virgin America,0
css site right now please fix site unusable,0,negative,2015-02-21 17:51:48+00:00,Virgin America,0
flight vegas boston today checked online bag count didn register fix somehow,0,negative,2015-02-21 17:10:18+00:00,Virgin America,0
classiq luv virgin america greetingz,2,positive,2015-02-21 17:03:30+00:00,Virgin America,0
trying check website working tried different browsers problem continues,0,negative,2015-02-21 16:59:06+00:00,Virgin America,0
thanks great customer service today helping travel sorted out,2,positive,2015-02-21 16:48:13+00:00,Virgin America,0
thanks guys sweet route over rockies airplanemodewason,2,positive,2015-02-21 16:04:14+00:00,Virgin America,0
love music blasting gate boston while waiting flight sanfrancisco only iced coffee,2,positive,2015-02-21 12:25:54+00:00,Virgin America,0
passenger flt assaulted shouldn flown trust banned crew filed report,0,negative,2015-02-21 10:36:29+00:00,Virgin America,0
current bug website shows select departure city selecting destination city,0,negative,2015-02-21 07:00:24+00:00,Virgin America,0
luggage severely dented missing wheel coming off baggage claim san luggage agent miranda think wasn any help,0,negative,2015-02-21 06:34:27+00:00,Virgin America,0
thank easy itinerary shift impending weather quick painless free,2,positive,2015-02-21 06:28:03+00:00,Virgin America,0
love see girls inspired become pilots free woaw event march abq,1,neutral,2015-02-21 06:18:41+00:00,Virgin America,0
thanks good times back vodkatonics entire flight sfo,2,positive,2015-02-21 05:52:51+00:00,Virgin America,0
beats expectations shares take off santa cruz sentinel,1,neutral,2015-02-21 04:22:04+00:00,Virgin America,0
any plans start flying direct dal las,1,neutral,2015-02-21 03:36:07+00:00,Virgin America,0
big love gratitude mpower werin oscars vipswagbags avalonhollywood,1,neutral,2015-02-21 03:35:04+00:00,Virgin America,0
doing great job adding little luxuries aesthetics improve air travel experience thank keep,2,positive,2015-02-21 03:16:04+00:00,Virgin America,0
requested window seat confirmed window stuck middle seat good way treat silver member,0,negative,2015-02-21 01:31:01+00:00,Virgin America,0
grand budapest hotel oscarscountdown,1,neutral,2015-02-21 01:28:16+00:00,Virgin America,0
missed next trip,1,neutral,2015-02-21 01:20:14+00:00,Virgin America,0
wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience,0,negative,2015-02-21 01:16:37+00:00,Virgin America,0
something wrong website safari iphone,0,negative,2015-02-21 01:07:21+00:00,Virgin America,0
thanks gate checking baggage full flight dfw lax giving early boarding too sweet,2,positive,2015-02-21 00:27:32+00:00,Virgin America,1
already checked page expired,0,negative,2015-02-21 00:23:44+00:00,Virgin America,0
boo refunding seat upgrade fee want buy first place,0,negative,2015-02-21 00:22:36+00:00,Virgin America,0
shares rise financial results usa today,1,neutral,2015-02-21 00:22:04+00:00,Virgin America,0
adds pillows instead lie flat seats first class arms race,1,neutral,2015-02-21 00:11:47+00:00,Virgin America,0
see,2,positive,2015-02-21 00:02:49+00:00,Virgin America,0
way take advantage mayweatherpacquiao,1,neutral,2015-02-20 23:50:19+00:00,Virgin America,0
know flying virgin fight mayweatherpacquiao,1,neutral,2015-02-20 23:48:45+00:00,Virgin America,0
inflight team makes experience amazing,2,positive,2015-02-20 23:13:30+00:00,Virgin America,0
cutest salt pepper shaker ever think guys any better,2,positive,2015-02-20 23:10:29+00:00,Virgin America,0
moved seat notice better seat cabin select behind row selected disappointed,0,negative,2015-02-20 22:35:38+00:00,Virgin America,0
shares results,1,neutral,2015-02-20 22:22:04+00:00,Virgin America,0
fav airline,2,positive,2015-02-20 22:17:44+00:00,Virgin America,0
hot female pilot sweet dca sfo,2,positive,2015-02-20 21:48:57+00:00,Virgin America,0
guys going start flying paris welcome,1,neutral,2015-02-20 21:48:54+00:00,Virgin America,0
policy flying after surgery still waiting answer tell doctor,1,neutral,2015-02-20 21:28:11+00:00,Virgin America,0
already contacted central baggage sent charging dress lost suitcase help,0,negative,2015-02-20 21:16:56+00:00,Virgin America,0
thank,2,positive,2015-02-20 20:47:39+00:00,Virgin America,0
anything going website getting lot errors past minutes,0,negative,2015-02-20 20:21:45+00:00,Virgin America,0
think left something plane yesterday who call,1,neutral,2015-02-20 20:17:32+00:00,Virgin America,0
need follow back order,1,neutral,2015-02-20 20:09:22+00:00,Virgin America,0
need start flying,1,neutral,2015-02-20 20:08:35+00:00,Virgin America,0
told check airline regulation first why contacted,1,neutral,2015-02-20 19:33:18+00:00,Virgin America,0
checked flight sfo lax told atlantic flying club gold benefits,0,negative,2015-02-20 19:24:22+00:00,Virgin America,0
husband ordered three drinks screen never came awesome,0,negative,2015-02-20 19:13:34+00:00,Virgin America,0
soooo guys going leave seatbelt light flight barely call turbulence,0,negative,2015-02-20 19:13:28+00:00,Virgin America,0
policy flying after surgery,1,neutral,2015-02-20 18:59:50+00:00,Virgin America,0
posts second consecutive full year net profit,1,neutral,2015-02-20 18:52:03+00:00,Virgin America,0
funny story website broken missing javascript stylesheets checkin process dislike,0,negative,2015-02-20 18:32:51+00:00,Virgin America,0
love virgin like,2,positive,2015-02-20 18:32:12+00:00,Virgin America,0
